"";"fit";"upr";"lwr"
"1";194,589637964254;205,618516080061;183,560759848448
"2";188,285509066808;200,069749569582;176,501268564033
"3";209,402194387428;221,896212794696;196,908175980161
"4";199,804481748991;212,970068241626;186,638895256355
"5";209,768285686173;223,572808112863;195,963763259483
"6";206,537813666631;220,952979678957;192,122647654306
"7";210,038380111668;225,039352843355;195,03740737998
"8";213,56385572171;229,128602897002;197,999108546419
"9";211,235077428166;227,343880188292;195,126274668039
"10";213,812977004083;230,44805133811;197,177902670057
"11";214,643159890892;231,788359505726;197,497960276058
"12";251,050505880008;268,691085279972;233,409926480044
