"";"fit";"upr";"lwr"
"1";194,589637964267;205,618516080073;183,560759848461
"2";188,285509066821;200,069749569596;176,501268564045
"3";209,402194387438;221,896212794709;196,908175980168
"4";199,804481749004;212,970068241643;186,638895256364
"5";209,768285686183;223,572808112879;195,963763259488
"6";206,537813666642;220,952979678974;192,12264765431
"7";210,038380111677;225,039352843371;195,037407379983
"8";213,563855721717;229,128602897016;197,999108546417
"9";211,235077428172;227,343880188308;195,126274668036
"10";213,812977004091;230,448051338128;197,177902670055
"11";214,643159890899;231,788359505743;197,497960276054
"12";251,050505880008;268,691085279983;233,409926480033
