"","Point.Forecast","Lo.95","Hi.95"
"Jan 2012",190.253639092269,177.172889051519,204.300146493213
"Feb 2012",179.60839947665,166.340576141746,193.934504201034
"Mar 2012",206.019172271512,189.822240914048,223.59813654638
"Apr 2012",194.123969508852,177.999418502757,211.70920587749
"May 2012",206.509708318576,188.491134547218,226.250745066954
"Jun 2012",202.139670617018,183.699578720821,222.430811881472
"Jul 2012",207.269819251889,187.577816661579,229.029097029202
"Aug 2012",212.568130476663,191.60421188286,235.825766303969
"Sep 2012",210.119197509087,188.668199689076,234.009108236693
"Oct 2012",213.885851647801,191.337009239012,239.092048721004
"Nov 2012",214.768198189631,191.435779089714,240.944400116576
"Dec 2012",264.426225626876,234.877475912884,297.692354396764
